,Performance/Coefficients
Explained Variance,0.6389854896138665
Mean Absoloute Error,6.593341332691425
trams,1.7763568394002505e-15
fastEight,2.220446049250313e-15
fastSixes,2.220446049250313e-15
Snow Making_ac,0.16751164321360013
Runs,0.2017405711679583
averageSnowfall,0.20589115324988083
NightSkiing_ac,0.36016889641506394
fastQuads,0.709806597545898
yearsOpen,0.7381080820118724
total_chairs,0.8932297596542351
double,0.9796367143672029
LongestRun_mi,1.0218676185059674
triple,1.069287785078708
projectedDaysOpen,1.373329795378357
TerrainParks,1.4462968584405407
clusters,1.4701457507647449
surface,1.5786747082239194
daysOpenLastYear,1.8609991394008216
SkiableTerrain_ac,1.8679699141891442
quad,2.1007479032386924
vertical_drop,2.600240706654047
AdultWeekday,9.621925222220609
